logFC	AveExpr	t	P.Value	adj.P.Val	B
Tinagl1	3.64635161420228	3.88204702683655	11.7501802646765	1.87566394971616e-10	2.96880089961074e-06	13.703034267014
Syne3	3.41672265547188	3.09217306218589	10.8410511079544	7.65580591730767e-10	6.05880480295729e-06	12.5106703015564
Zcchc24	2.20096516928234	4.86365093588159	9.40018568160222	8.54408765244744e-09	3.38089548407345e-05	10.3485551979732
Igfbp6	5.54284556469169	1.21284649204364	10.0715416706568	2.69593877867625e-09	1.42237729962959e-05	10.2053493366502
Thsd4	2.63828966234269	3.0373487969289	8.95430070151591	1.89422164004909e-08	5.38983733007382e-05	9.62473699701984
Fam114a1	2.36044223937782	4.29544045765295	8.91262117130787	2.04315289237067e-08	5.38983733007382e-05	9.4611733680732
Pla2g7	3.33293608198789	2.92698654133202	8.8084384710759	2.47104250897835e-08	5.58738011887277e-05	9.32498107052773
Rdh10	2.29639010116837	3.78781556265033	8.42344852903204	5.04972791355682e-08	9.73482572464808e-05	8.62724570358723
Capg	2.94613394248885	3.94961045338081	8.36796666575008	5.6064152537609e-08	9.73482572464808e-05	8.50406359869504
Itgav	1.44113739615446	7.74404222844706	8.26880406794517	6.76542096102659e-08	9.73482572464808e-05	8.40638022561376
Mxra8	3.50578912311569	3.99121101369155	8.17054061976654	8.16051614276902e-08	9.93574226982677e-05	8.21112779478019
Pitpnm3	2.54229890257288	2.67074162530768	8.19425668454752	7.79857975978745e-08	9.93574226982677e-05	8.2076459685397
Ecm1	3.34704083567966	3.96917354160478	8.04488328181961	1.03907319639164e-07	0.000112614605875023	7.98144501615882
Pcolce	1.80869620759633	6.70774729179309	8.03104168886743	1.06723470313707e-07	0.000112614605875023	7.96138278123611
Nup210	-2.00496882197426	6.48697984029665	-7.96534809158197	1.21207908233689e-07	0.000117882536367271	7.8240630729112
Pcdh19	3.22859891540747	4.30001745092148	7.89248573585488	1.39677115772305e-07	0.000117882536367271	7.70388788567585
Frmd6	1.4861462928345	5.60326441415014	7.88581819714102	1.41506709058514e-07	0.000117882536367271	7.69123047674136
Spp1	4.61243112849357	5.05103770724361	8.27839559712332	6.64318983547398e-08	9.73482572464808e-05	7.68689606170059
Als2cl	2.25541995858527	3.93413784132296	7.92451210670291	1.31224176416913e-07	0.000117882536367271	7.68483500633238
Tspo	2.16822936702559	4.40948084987979	7.74342342944192	1.87109112983453e-07	0.000145629968365123	7.40983526703736
Mmp28	2.30480099080005	1.79354573285807	7.72713915833392	1.93216409885492e-07	0.000145629968365123	7.33677848611945
Nupr1	3.47015544011561	4.5551520931705	7.6125373654915	2.42464906234884e-07	0.000174442478903898	7.1503728530313
Capn1	1.94424346510134	4.43356252384623	7.5581946486388	2.70192971827979e-07	0.000185939754699707	7.02706712212953
Flnc	4.91525795360812	5.40931009196563	7.38731802677827	3.80773214276632e-07	0.000251119934815439	6.73160960340153
Fn1	2.27286721329443	9.77840806960259	7.19368283800326	5.64375267330523e-07	0.000350592348602412	6.32522208847554
Cast	1.24633404193162	6.82059702817968	7.18379957392615	5.75903529420186e-07	0.000350592348602412	6.30783625087499
Col6a3	5.12309901327316	5.29740496464775	7.0668133192987	7.32371396576539e-07	0.000421202703037705	6.10210410969735
Vcan	1.1599879036084	6.24513309559249	7.02019043163262	8.06405484412218e-07	0.000421202703037705	5.98256755798169
Tnfaip2	3.170265333889	3.01259141300957	7.00793876370048	8.27112517757832e-07	0.000421202703037705	5.9559652729229
Epas1	2.33340029104944	3.97080199249395	6.9926720553724	8.53685090491177e-07	0.000421202703037705	5.95133104178768
Dbndd2	1.37371391266992	3.23976790684466	6.99542303179393	8.4883262867731e-07	0.000421202703037705	5.94885846097757
Cp	2.96142912368088	1.87553390610109	6.97903197413807	8.78170912322735e-07	0.000421202703037705	5.92716636180068
Hic1	2.74940251925241	2.54731278563045	6.9810979078439	8.74416235119751e-07	0.000421202703037705	5.77180415063048
Asph	1.36654209811162	6.73569086805283	6.90612895655983	1.02188812410521e-06	0.000475718977304036	5.74545031227865
Prickle2	2.37117417010684	3.43522479601805	6.8746874048897	1.09115691823735e-06	0.00049345233433888	5.71170699874289
Socs6	1.13301360681426	6.41570385545952	6.84677697032839	1.15669831924577e-06	0.000505329966612098	5.62073259783724
Il4ra	2.10160409540969	4.58670349460855	6.82399384529661	1.21320057690547e-06	0.000505329966612098	5.61012551889987
Tspan9	1.57532937147929	5.37587409362099	6.7701808888312	1.35823165822429e-06	0.000551233094522411	5.50804195930778
Ly6a	2.91336430609948	2.60615283623257	6.75228518333159	1.41032658589964e-06	0.000558066230040489	5.44915736580408
Thy1	4.96873272242288	3.7044868805946	6.71056761875742	1.53991171496052e-06	0.000582994687121134	5.3551440072967
Socs5	1.96794597454212	4.66527835838134	6.70397050005648	1.56150026249579e-06	0.000582994687121134	5.35459422071927
Ppl	3.30052287470154	1.78080174186363	6.82540032529956	1.20963149414445e-06	0.000505329966612098	5.33331155830654
Pear1	3.04666423665806	2.59608000343207	6.63779823375054	1.79608413037182e-06	0.000642814324804947	5.24034963191137
Col7a1	4.15807425112106	2.98108476716465	6.69724665809857	1.58382433322016e-06	0.000582994687121134	5.23271925864003
Stmn2	1.81563631054344	6.09695839233259	6.6296030772854	1.82756157545e-06	0.000642814324804947	5.18528729701129
Nhsl2	2.47629726835411	3.40170592857715	6.59272157683438	1.97640749995859e-06	0.000665586764028609	5.14854347662519
Cyth3	1.38005217677123	6.58498603253741	6.60676232566424	1.91832368762172e-06	0.000660070159297318	5.120205925204
Tgfbi	3.23615650485563	4.75981217219251	6.53626143611409	2.22885677972266e-06	0.000734965523113546	4.99740372764402
Map6	1.77651294142845	4.41945641260671	6.51267332999811	2.34393909261123e-06	0.000757140162405114	4.98540471345312
Map1lc3a	1.45696256044357	4.65196456375268	6.43675318311799	2.75759716294379e-06	0.000833118689319677	4.82906007381772
Mn1	2.41953907475411	3.84917214777602	6.44723733508183	2.69627514780607e-06	0.000833118689319677	4.82037733617961
Prelp	3.38795435407892	2.263587145566	6.42265418665483	2.8423306307343e-06	0.000833118689319677	4.7664630664383
Rab43	1.37156496144766	3.97099835493757	6.36795965032621	3.19719144150098e-06	0.000900062394873006	4.68496849638216
Rhoj	3.30474214284943	2.26091437417036	6.36159896292072	3.24131643339407e-06	0.000900062394873006	4.66912183742163
Tmem119	5.35778820809313	1.7940081351033	6.47942873636256	2.51660217936359e-06	0.000796655585899337	4.63874562171589
Rhoc	1.46154320787568	5.42497938295949	6.34476653250399	3.36112972774558e-06	0.000917240712599259	4.61130024751663
Mgst3	2.13737738179057	3.3415267812264	6.33221330947816	3.45343910739162e-06	0.000926458206640586	4.59477342464353
Crabp2	2.93865350264153	3.71257567176851	6.32017103384403	3.54443979450192e-06	0.000935023217789606	4.58466948571441
Cadm1	-1.67850487039163	6.44140735095728	-6.29754799706831	3.7221164530339e-06	0.000965797692108534	4.51748299968991
Angptl4	2.38878392308752	3.99848096798771	6.26920324197811	3.95771610318847e-06	0.000978792663769798	4.46920792289286
Galnt15	3.56633578110204	-2.06660440534936	6.43006491835376	2.79746435744994e-06	0.000833118689319677	4.45802891058257
Sorcs2	4.40309644086633	3.26327993647677	6.2728128739557	3.92688133457459e-06	0.000978792663769798	4.42846693769598
Ptprv	2.94553263724809	3.75850730423999	6.18149935889862	4.78848094271251e-06	0.00116603194401929	4.27041398755516
Msh2	-1.1278847453493	7.29090298128107	-6.16222908930722	4.99385944499388e-06	0.00119476142089234	4.23025729547526
Vtcn1	2.51180569185078	-0.779387798484936	6.273912364205	3.91753819679795e-06	0.000978792663769798	4.22029339648656
Rab7b	1.97578760359181	1.88787843172014	6.14124975397827	5.22775517790658e-06	0.00120279152213355	4.21842280020149
B4galnt1	1.39506933429036	3.77370303492768	6.13988059700757	5.24340504341766e-06	0.00120279152213355	4.21222200447285
S100a4	3.26673975541801	3.5719921756604	6.1564288421619	5.05743083142451e-06	0.00119476142089234	4.19228887050543
Prrx2	3.74859798450964	1.52865760133256	6.37528247870812	3.14715547362223e-06	0.000900062394873006	4.18181333858907
1700020L24Rik	2.51279542103435	0.831647093485308	6.12868509581324	5.37319014897782e-06	0.00121495505254316	4.13623768305102
Mvp	2.00231634261846	5.36957332258997	6.11524470497062	5.53336296462384e-06	0.0012335502676629	4.1329834348674
Mtr	-1.02492869912359	6.74240282832533	-6.10554556852429	5.65198646625944e-06	0.0012424950248327	4.10331758776239
Loxl1	4.68304719016087	3.73207770547308	6.07527964667002	6.03919599613698e-06	0.00130919879734726	4.06468212489906
Trim47	2.65479960957178	2.88962669369361	6.0691522065971	6.12084350541429e-06	0.00130919879734726	4.01301201703631
Arpc1b	1.19662412391036	6.97566948661371	6.05143940808923	6.36328964597246e-06	0.00132904953207553	3.94164058796023
Shisa5	1.43845949206458	5.69244077929585	6.0143357930149	6.90358327634972e-06	0.00141908981945537	3.8908274226411
Acvr1	1.42023393951871	4.23551196788078	5.9693887803555	7.62160046637983e-06	0.00150793365227325	3.84782102550952
Tmem165	0.82327327254287	7.05338919748964	6.00327643169808	7.07356016847673e-06	0.00143538859418782	3.83391028033449
Fndc3b	1.40410637633571	6.88830370986479	5.98479440908143	7.36725508558494e-06	0.00147606219613466	3.79733239309299
Kalrn	1.03555886275905	5.57182693267081	5.93613111612834	8.20181632443658e-06	0.00155526617800698	3.74697717983445
Lurap1l	1.95750871290722	3.77125662971514	5.90588653936126	8.76873226017871e-06	0.00161385458388498	3.71137196359528
Ncam1	1.82132305234039	6.50180657007007	5.94050685598187	8.12296165875355e-06	0.00155526617800698	3.70826399984587
Itga7	3.26736569014815	2.29824342585577	5.95254402072111	7.9100240772475e-06	0.0015456772974651	3.68665641931828
Tmbim1	1.25353371019332	6.56396648310175	5.93326578434002	8.25387660807343e-06	0.00155526617800698	3.68404904819752
Aldh3a2	1.12207019245426	5.47287229546879	5.88788434531583	9.12507599325034e-06	0.00166013451518582	3.65178305936333
Col4a6	2.86377119964781	2.05372246717265	5.87114833732761	9.46965770312149e-06	0.00168410946207873	3.64778786602167
Cttn	0.753217058995376	7.78658961869744	5.90847978108968	8.71858764242824e-06	0.00161385458388498	3.62620041492926
Col16a1	3.39705517307282	3.90513525286891	5.84936881698448	9.93812913009741e-06	0.00172133616048081	3.60032680551122
Fhl2	3.02748116496069	3.89034618376029	5.86457083494975	9.60870517321068e-06	0.00168985094979532	3.59347062875774
Itih5	2.50602105255969	1.8472904057481	5.84633517924536	1.00052392446446e-05	0.00172133616048081	3.5650468141907
