14-13090.bam	14-13091.bam	14-13092.bam	14-13093.bam	14-13094.bam	14-13095.bam	14-13096.bam	14-13097.bam	14-13098.bam	14-13099.bam	14-13100.bam	14-13101.bam	14-13102.bam	14-13103.bam	16-04332.bam	16-04333.bam	16-04334.bam	16-04335.bam	16-04336.bam	16-04337.bam	16-04338.bam	16-04339.bam	16-04340.bam	16-04341.bam	16-04342.bam	16-04343.bam
0610005C13Rik	10	7	40	31	32	73	32	5	9	22	32	27	57	36	6	5	7	12	2	10	9	8	15	11	19	15
0610007P14Rik	1033	621	665	593	391	1235	871	965	737	748	700	736	1115	808	297	274	201	286	181	239	186	367	286	379	255	279
0610009B22Rik	638	429	554	526	325	1341	585	536	494	554	468	579	1081	958	179	119	124	176	116	137	133	175	166	202	249	273
0610009L18Rik	54	16	21	40	24	25	18	29	28	21	34	42	16	15	15	8	3	16	9	17	6	11	5	10	3	14
0610009O20Rik	1481	1384	1855	2060	1342	2143	2008	1278	1628	1892	1721	2080	1596	1812	295	547	387	652	368	519	466	666	388	596	446	586
0610010B08Rik	8	10	28	24	16	40	24	13	10	21	36	20	25	14	8	8	2	10	5	10	16	14	15	19	8	10
0610010F05Rik	3364	3722	2982	2919	1989	3089	1357	3024	4755	3019	2420	2960	2525	1869	517	912	625	881	405	550	411	309	297	400	383	447
0610010K14Rik	783	989	996	992	701	2035	1319	628	1160	1069	893	948	1410	1763	219	316	289	332	156	243	233	412	326	305	471	563
0610011F06Rik	374	686	1195	1225	960	603	626	332	763	1230	1121	1277	416	419	133	292	223	406	312	376	333	162	124	173	60	158
0610012G03Rik	1074	850	872	1015	732	968	764	950	1165	984	760	958	791	669	302	299	220	351	238	284	238	211	200	289	212	221
0610030E20Rik	508	563	867	850	664	850	670	307	471	840	666	884	561	563	180	157	155	254	143	205	179	217	122	149	110	119
0610031O16Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0610037L13Rik	1362	729	868	981	796	1174	861	1281	949	915	1036	1088	940	873	268	255	218	319	202	277	248	258	248	329	246	308
0610038B21Rik	17	17	21	22	24	12	5	14	24	14	17	17	8	11	27	14	19	15	17	11	13	9	20	12	6	12
0610039H22Rik	0	12	18	25	22	34	20	1	2	10	24	18	14	10	3	1	3	6	4	3	9	11	4	1	14	7
0610039K10Rik	65	12	12	24	26	42	22	44	21	27	20	21	25	16	176	52	51	66	78	46	60	56	69	70	54	68
0610040B10Rik	32	31	61	69	50	43	13	28	55	71	63	85	25	30	8	15	7	21	17	13	10	4	4	8	3	3
0610040F04Rik	4	6	1	3	3	414	240	1	3	4	1	7	202	137	33	47	59	21	45	15	41	139	58	30	36	32
0610040J01Rik	7	10	16	58	86	90	21	2	4	29	44	56	128	52	20	0	0	13	3	17	15	7	31	43	17	25
0610043K17Rik	4	6	7	23	25	45	60	1	6	14	18	19	31	26	1	2	3	4	4	2	3	12	6	8	4	4
1010001N08Rik	20	3	1	1	0	9	1	9	0	0	0	1	2	1	1	0	1	1	0	0	0	4	1	1	1	1
1110001J03Rik	232	428	466	544	368	474	409	208	567	548	560	632	453	338	35	122	80	163	65	137	147	116	97	122	89	135
1110002L01Rik	294	296	294	248	167	433	133	288	284	260	213	221	279	138	90	118	84	88	80	76	76	72	98	91	120	89
1110004E09Rik	725	1425	1423	1387	987	1592	1208	631	1645	1565	1172	1428	1300	1281	105	368	242	372	181	283	253	346	221	285	245	301
1110004F10Rik	4682	4130	4071	4224	2916	4704	2714	3640	5058	4194	3534	4495	3917	2353	752	1068	889	1187	713	885	668	617	673	725	722	636
1110006O24Rik	23	13	20	26	20	22	1	14	21	20	12	21	9	17	4	7	2	3	10	2	4	5	1	1	6	6
1110007C09Rik	752	434	222	219	147	663	589	841	677	229	175	209	322	536	218	151	240	88	168	49	65	112	61	72	103	128
1110008F13Rik	1231	753	648	701	399	1096	410	1281	1122	805	472	630	855	553	188	218	146	182	141	105	109	103	225	235	152	187
1110008L16Rik	643	1014	1222	1141	869	2009	1098	497	1237	1264	1062	1189	1752	1353	151	321	253	390	232	326	274	370	378	388	455	380
1110008P14Rik	437	213	129	121	93	351	249	447	349	190	88	134	277	277	81	102	92	49	58	35	56	89	107	120	106	140
1110012L19Rik	810	567	681	570	362	1681	1107	747	713	643	503	595	1147	698	156	222	170	205	216	136	130	176	201	263	148	167
1110015O18Rik	0	0	0	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1110017D15Rik	4	3	6	0	6	13	3	0	3	0	1	2	2	2	1	1	0	3	1	0	1	1	3	0	3	0
1110019D14Rik	129	91	176	158	116	383	150	123	86	140	180	167	251	214	38	31	46	50	49	33	29	44	48	47	41	27
1110020A21Rik	22	23	49	90	50	38	17	14	37	54	68	65	29	10	4	8	4	12	6	16	11	3	3	4	4	4
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	1	0	2	0	7	11	3	1	0	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	2	0
1110028F18Rik	0	0	0	0	2	1	1	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	1	0	0
1110032A03Rik	365	146	299	339	256	280	119	283	215	292	304	311	147	92	103	65	49	72	75	38	65	26	24	28	22	27
1110032F04Rik	0	58	83	302	185	152	102	0	80	121	206	192	129	75	0	18	4	30	9	46	29	19	32	31	19	33
1110034G24Rik	158	157	219	169	116	282	199	127	163	200	152	224	227	163	32	40	48	64	49	60	54	63	65	56	95	73
1110036E04Rik	0	0	1	0	7	2	3	1	0	2	2	1	4	0	0	0	0	1	0	0	1	0	1	0	2	0
1110037F02Rik	10008	6511	6533	5514	3593	7531	3096	7747	7381	6662	5081	5705	5469	3387	2067	1958	1704	2124	1516	1461	1156	1008	1108	1201	1305	1258
1110038B12Rik	1487	1856	2152	2375	1524	1959	3278	969	1915	2128	1475	1932	1939	1778	325	468	360	568	435	423	393	650	512	488	429	403
1110038F14Rik	800	697	1155	1029	693	940	483	614	835	1112	951	977	690	462	191	251	194	383	256	258	232	173	192	198	203	231
1110046J04Rik	220	6	17	6	11	19	4	201	12	7	9	6	11	11	64	4	4	3	15	5	5	0	4	9	4	7
1110051M20Rik	1008	814	1468	1475	1074	681	747	853	1080	1521	1342	1654	420	629	302	339	278	506	329	441	417	242	117	236	105	181
1110058D11Rik	12	14	14	17	14	43	12	3	6	7	13	14	15	10	5	5	6	8	4	1	4	9	2	2	5	3
1110059E24Rik	1606	1613	1816	1655	1041	2175	1639	1376	2253	1911	1593	1739	1819	1245	277	356	326	507	298	372	291	287	408	417	382	382
1110059G10Rik	671	489	524	498	311	449	308	504	612	522	448	529	444	306	166	134	87	167	101	106	68	70	69	97	87	95
1110065P20Rik	246	108	108	100	82	136	115	261	151	96	98	113	102	100	55	35	36	44	35	20	44	16	28	50	30	47
1190002F15Rik	165	131	372	439	250	109	235	163	180	410	384	478	70	96	15	43	47	117	35	100	86	88	28	34	14	10
1190002N15Rik	3890	2291	1878	1409	953	2123	1363	2727	2501	1830	1076	1073	1881	905	1003	532	520	488	422	297	170	331	432	410	474	416
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	4	0	5	2	2	26	14	1	0	6	2	4	19	19	0	1	0	1	3	1	3	7	5	5	5	10
1190007I07Rik	114	224	329	300	206	544	689	82	270	379	321	345	514	485	24	61	36	81	51	89	86	166	94	148	61	100
1200014J11Rik	2918	2182	2781	3270	2369	5266	2427	2195	2696	2779	2472	3615	3590	3106	597	695	505	819	533	720	666	802	704	816	983	910
1300002E11Rik	165	145	229	201	168	457	227	142	121	174	203	192	312	202	39	41	41	51	40	51	29	58	57	60	64	40
1300017J02Rik	2	2	3	1	0	61	45	2	2	5	1	3	39	70	0	0	3	1	0	1	1	15	12	12	10	26
1500004A13Rik	113	133	214	230	170	341	194	84	131	170	193	245	222	230	27	77	54	90	70	60	67	83	91	100	121	97
1500009C09Rik	0	0	0	3	0	30	81	0	1	1	2	3	10	67	0	0	0	0	0	1	0	28	12	32	18	39
1500009L16Rik	600	119	226	187	87	1817	1143	534	132	203	157	142	1236	1610	159	41	69	75	49	58	39	362	331	314	407	444
1500011B03Rik	331	261	286	281	197	553	240	307	279	308	252	296	403	337	68	76	43	98	68	68	92	81	77	84	119	119
1500011K16Rik	470	367	314	296	203	564	506	419	483	324	249	291	657	419	91	117	133	100	79	64	64	137	119	156	98	130
1500012F01Rik	1514	2482	4379	4693	3527	2469	6344	1317	2731	3794	3137	4408	2522	3074	367	610	495	993	630	791	741	1062	581	553	490	494
1500012K07Rik	0	0	0	2	1	0	0	0	1	2	1	1	0	0	0	0	1	1	1	8	9	0	0	0	0	0
1500015A07Rik	498	209	245	382	377	269	143	259	209	186	155	233	126	96	67	46	47	72	29	42	39	53	48	73	39	45
1500015L24Rik	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1500015O10Rik	126	57	377	565	266	113	13	61	58	336	430	280	27	19	337	18	60	79	360	105	62	0	8	7	9	19
1500017E21Rik	4	3	3	1	1	8	7	2	0	2	2	0	1	2	13	2	4	6	3	6	6	20	14	18	2	7
1500026H17Rik	9	1	6	12	13	6	5	2	2	4	2	9	4	5	2	0	0	1	3	1	2	1	0	2	2	0
1600002D24Rik	0	1	0	0	0	8	7	2	0	0	1	0	7	5	1	0	0	0	0	0	0	0	1	2	0	1
1600002H07Rik	553	654	837	801	509	1467	1473	464	695	820	681	827	1369	1095	57	127	104	184	78	128	119	359	257	336	251	285
1600002K03Rik	283	177	140	150	135	142	82	245	214	155	101	135	123	72	49	74	58	47	43	45	32	24	41	32	22	28
1600010M07Rik	2	0	1	0	0	2	3	3	0	0	1	0	6	2	8	0	0	0	0	0	0	0	0	1	0	0
1600012H06Rik	2171	677	903	633	422	993	589	1768	697	793	645	695	794	533	745	330	303	350	382	230	203	242	190	223	252	202
1600014C10Rik	1454	879	1156	993	715	436	264	1224	1182	1246	854	1029	386	239	467	381	287	403	404	248	263	46	46	79	64	82
1600014C23Rik	1	2	0	1	5	23	49	2	3	1	0	3	17	11	2	0	0	1	0	0	3	6	3	1	0	1
1600014K23Rik	0	1	0	0	0	198	15	1	0	1	0	0	77	9	0	0	0	0	0	0	0	0	21	4	7	3
1600015I10Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
1600019K03Rik	7	0	0	0	0	0	0	21	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	121	117	160	253	208	225	243	92	112	159	196	275	212	247	52	31	20	45	24	49	41	61	42	61	50	46
1600023N17Rik	6	10	12	32	40	25	31	3	13	9	13	15	18	18	0	4	6	1	1	0	4	4	2	3	6	6
1600025M17Rik	3	0	0	0	0	22	1	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	261	0	0	0	0	3	0	213	0	0	0	0	28	0	56	0	0	0	0	0	0	1	4	4	5	6
1600029I14Rik	2	4	14	9	7	12	2	1	2	9	14	11	2	4	0	1	0	2	6	2	3	3	2	1	1	0
1600029O15Rik	1	2	13	2	2	6	19	2	5	15	2	3	9	17	0	1	3	0	2	0	0	2	1	0	0	3
1700001C02Rik	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	3	0	1	0	0	46	11	2	2	1	1	2	14	7	2	0	2	0	0	0	0	5	0	0	9	7
1700001D01Rik	11	1	5	3	3	10	4	1	0	2	1	6	1	5	2	1	1	1	1	0	1	2	2	0	1	0
1700001F09Rik	1	0	0	0	1	21	3	0	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	1	2	1
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	13	11	26	21	15	29	25	2	16	21	19	12	10	17	16	13	6	19	10	11	16	14	8	8	10	11
1700001G17Rik	9	7	8	22	30	18	2	5	8	12	11	9	3	3	0	3	5	4	0	0	1	0	1	1	3	1
1700001J03Rik	1	4	8	2	3	8	4	0	3	7	4	7	4	12	0	0	1	3	3	0	0	1	0	0	1	0
1700001J11Rik	1	8	10	7	7	17	7	5	9	11	8	9	10	3	0	0	0	3	3	1	1	1	1	2	1	1
1700001K19Rik	42	39	73	111	65	87	50	28	19	49	40	64	48	44	31	14	9	24	20	20	13	19	13	7	11	6
1700001K23Rik	1	6	14	12	8	16	7	3	6	10	25	11	7	4	0	0	1	14	5	3	2	3	2	0	1	0
1700001L05Rik	156	117	192	209	158	4425	3653	165	90	209	197	271	2934	1626	71	21	31	44	43	78	71	1201	615	538	656	497
1700001L19Rik	5	0	5	4	3	12	6	3	3	2	1	3	3	7	2	1	0	3	0	2	0	0	1	0	0	1
1700001O22Rik	18	6	9	6	4	55	56	6	7	5	1	2	63	49	7	2	2	3	1	1	2	15	14	20	5	5
1700001P01Rik	2	25	25	29	18	66	92	12	15	21	16	29	58	101	1	7	2	8	4	3	4	11	13	21	14	15
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	2	0	0	5	0	0	0	0	1	0	2	0	0	0	0	1	0	0	4	1	1	1	6
1700003E16Rik	26	9	8	5	10	64	23	27	5	10	7	11	21	23	8	0	5	3	4	2	4	15	5	7	7	12
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	21	11	18	16	18	41	46	26	6	23	13	33	24	50	4	4	6	5	4	5	8	18	8	15	6	11
1700003G13Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	1	0	3	3	11	3	3	0	3	2	1	6	1	7	1	0	0	1	1	0	0	0	1	1	2	1
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	5	10	21	39	20	45	45	7	12	16	14	22	74	33	0	4	0	10	5	3	4	2	11	17	6	13
1700003M07Rik	30	65	99	91	102	135	66	14	85	79	82	84	60	40	6	32	23	20	21	9	13	12	14	23	9	4
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
